,index,zipcode,Category,installs_per_100,100_hhs,number_installed,PO_NAME,STATE,ZIP_TYPE,ZCTA,Zip_join_type,population,landsqmi,popdensity,total_household,avg_hh_size,percet_1unit,ZCTA_5,mean_income,earning_hhs,mean_income_earning_hhs,percent_int_div_rent,earn_int_div_rent,no_financial_incentive_prog,no_rules_reg_pol_incentive,no_plants,op_months,summer_capacity,winter_capacity,nameplate_capacity,comm_rate,ind_rate,res_rate,comm_rate_noniou,ind_rate_noniou,res_rate_noniou,region
2162,2162,3885,Low,0.074766355,26.75,2,Stratham,NH,Zip Code Area,3885,Zip Matches ZCTA,7261,15.13,479.94,2675,2.69,90.2,3885,139368,87.1,140239,36.9,10566,4,4,0,0,0.0,0.0,0.0,0.12,0.14,0.12,0.0,0.0,0.0,New England
2163,2163,63110,Low,0.025297243,79.06,2,Saint Louis,MO,Zip Code Area,63110,Zip Matches ZCTA,17107,6.26,2731.44,7906,2.05,45.0,63110,65608,83.9,68380,19.6,11573,10,3,0,0,0.0,0.0,0.0,0.08,0.07,0.11,0.0,0.0,0.0,Northwest
2164,2164,17028,Low,0.131665569,15.19,2,Grantville,PA,Zip Code Area,17028,Zip Matches ZCTA,3720,24.27,153.27,1519,2.43,63.9,17028,70184,77.9,72025,28.4,9376,7,3,0,0,0.0,0.0,0.0,0.06,0.04,0.09,0.0,0.0,0.0,PJM
2165,2165,2739,Medium,0.8,23.75,19,Mattapoisett,MA,Zip Code Area,2739,Zip Matches ZCTA,6045,17.35,348.39,2375,2.61,87.7,2739,119035,76.0,116505,32.2,32814,18,4,0,0,0.0,0.0,0.0,0.13,0.1,0.16,0.0,0.0,0.0,New England
2166,2166,21111,Medium,0.85413929,15.22,13,Monkton,MD,Zip Code Area,21111,Zip Matches ZCTA,4903,35.07,139.81,1522,2.56,96.6,21111,148755,87.7,145537,42.6,20514,7,4,0,0,0.0,0.0,0.0,0.08,0.07,0.1,0.0,0.0,0.0,PJM
2167,2167,8518,Low,0.044782803,22.33,1,Florence,NJ,Zip Code Area,8518,Zip Matches ZCTA,4986,1.91,2610.47,2233,2.34,74.2,8518,81144,75.1,87488,21.5,4284,10,4,0,0,0.0,0.0,0.0,0.08,0.04,0.1,0.0,0.0,0.0,PJM
2168,2168,21703,Low,0.071496663,125.88,9,Frederick,MD,Zip Code Area,21703,Zip Matches ZCTA,32854,33.26,987.88,12588,2.75,78.1,21703,89197,87.6,89028,19.8,12795,7,4,1,12,31.5,31.5,31.5,0.07,0.05,0.07,0.0,0.0,0.0,PJM
2169,2169,11221,Low,0.006763612,295.7,2,Brooklyn,NY,Zip Code Area,11221,Zip Matches ZCTA,78895,1.38,57046.28,29570,2.81,7.2,11221,59842,75.3,68717,7.8,17926,14,6,0,0,0.0,0.0,0.0,0.14,0.13,0.2,0.0,0.0,0.0,NYISO
2170,2170,17754,Low,0.040559724,49.31,2,Montoursville,PA,Zip Code Area,17754,Zip Matches ZCTA,12233,60.13,203.44,4931,2.41,86.7,17754,79183,71.4,83800,29.9,11893,7,3,0,0,0.0,0.0,0.0,0.07,0.04,0.1,0.0,0.0,0.0,PJM
2171,2171,33146,Low,0.025195263,39.69,1,Miami,FL,Zip Code Area,33146,Zip Matches ZCTA,14995,3.12,4801.47,3969,2.76,82.5,33146,178121,84.1,179640,39.7,41347,5,2,0,0,0.0,0.0,0.0,0.08,0.06,0.1,0.0,0.0,0.0,Southeast
2172,2172,93426,High,4.182509506,5.26,22,Bradley,CA,Zip Code Area,93426,Zip Matches ZCTA,1401,212.25,6.6,526,2.76,70.7,93426,75186,66.3,75460,21.3,12723,22,2,0,0,0.0,0.0,0.0,0.14,0.1,0.17,0.0,0.0,0.0,CAISO
2173,2173,16441,Low,0.154004107,38.96,6,Waterford,PA,Zip Code Area,16441,Zip Matches ZCTA,10136,112.65,89.97,3896,2.6,79.1,16441,72263,74.7,77374,25.8,8840,7,3,0,0,0.0,0.0,0.0,0.07,0.05,0.11,0.12,0.08,0.13,PJM
2174,2174,95472,High,5.933928292,127.74,758,Sebastopol,CA,Zip Code Area,95472,Zip Matches ZCTA,28255,69.14,408.66,12774,2.34,87.9,95472,97456,78.4,84094,40.1,33800,22,2,0,0,0.0,0.0,0.0,0.14,0.1,0.17,0.0,0.0,0.0,CAISO
2175,2175,96073,High,3.810160428,14.96,57,Palo Cedro,CA,Zip Code Area,96073,Zip Matches ZCTA,4082,44.52,91.69,1496,2.78,97.4,96073,96318,72.5,84115,36.3,34732,22,2,0,0,0.0,0.0,0.0,0.14,0.1,0.17,0.0,0.0,0.0,CAISO
2176,2176,17007,Low,0.093852651,21.31,2,Boiling Springs,PA,Zip Code Area,17007,Zip Matches ZCTA,5591,20.78,269.1,2131,2.63,94.8,17007,95620,81.4,90442,40.9,9123,7,3,0,0,0.0,0.0,0.0,0.07,0.05,0.09,0.11,0.08,0.12,PJM
2177,2177,76559,Low,0.056529112,17.69,1,Nolanville,TX,Zip Code Area,76559,Zip Matches ZCTA,5051,6.72,752.2,1769,3.06,69.2,76559,57002,81.8,55034,8.1,3390,19,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.07,0.09,ERCOT
2178,2178,98444,Low,0.007829627,127.72,1,Tacoma,WA,Zip Code Area,98444,Zip Matches ZCTA,33956,6.73,5046.97,12772,2.65,51.5,98444,49474,77.6,50417,8.5,6119,11,3,0,0,0.0,0.0,0.0,0.05,0.05,0.06,0.07,0.02,0.08,Northwest
2179,2179,70808,Low,0.007705348,129.78,1,Baton Rouge,LA,Zip Code Area,70808,Zip Matches ZCTA,32504,12.07,2692.07,12978,2.26,69.0,70808,103486,80.1,100529,34.8,29346,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.08,0.1,MISO
2180,2180,72653,Low,0.024244383,123.74,3,Mountain Home,AR,Zip Code Area,72653,Zip Matches ZCTA,28560,221.82,128.76,12374,2.19,78.1,72653,53749,58.7,56047,25.9,14044,1,2,0,0,0.0,0.0,0.0,0.08,0.07,0.1,0.1,0.07,0.12,MISO
2181,2181,93401,High,1.975146079,121.51,240,San Luis Obispo,CA,Zip Code Area,93401,Zip Matches ZCTA,28033,69.94,400.79,12151,2.32,59.9,93401,83650,77.1,81345,31.2,25184,22,2,0,0,0.0,0.0,0.0,0.14,0.1,0.17,0.0,0.0,0.0,CAISO
2182,2182,15126,Low,0.033156499,30.16,1,Imperial,PA,Zip Code Area,15126,Zip Matches ZCTA,7014,22.27,315.01,3016,2.45,81.7,15126,82882,82.0,89416,32.5,2410,7,3,0,0,0.0,0.0,0.0,0.06,0.06,0.1,0.0,0.0,0.0,PJM
2183,2183,20876,Medium,0.234411627,85.32,20,Germantown,MD,Zip Code Area,20876,Zip Matches ZCTA,25496,11.67,2184.37,8532,3.13,72.8,20876,113559,93.7,111097,20.5,10229,7,4,0,0,0.0,0.0,0.0,0.07,0.05,0.09,0.0,0.0,0.0,PJM
2184,2184,2061,Medium,0.30261348,36.35,11,Norwell,MA,Zip Code Area,2061,Zip Matches ZCTA,10506,20.94,501.7,3635,2.92,93.5,2061,152982,82.5,155673,36.9,26443,18,4,0,0,0.0,0.0,0.0,0.11,0.1,0.15,0.15,0.14,0.15,New England
2185,2185,54421,Low,0.080256822,12.46,1,Colby,WI,Zip Code Area,54421,Zip Matches ZCTA,3455,70.84,48.78,1246,2.67,79.1,54421,61917,77.6,66014,26.6,6419,7,4,0,0,0.0,0.0,0.0,0.1,0.08,0.13,0.08,0.0,0.13,MISO
2186,2186,5601,Low,0.038080731,52.52,2,Montpelier,VT,Post Office or large volume customer,5602,Spatial join to ZCTA,11916,81.19,146.76,5252,2.21,62.6,5602,75197,78.4,73771,37.3,13570,4,2,0,0,0.0,0.0,0.0,0.14,0.1,0.17,0.0,0.0,0.0,New England
2187,2187,2747,Medium,0.533491405,67.48,36,North Dartmouth,MA,Zip Code Area,2747,Zip Matches ZCTA,22927,48.8,469.78,6748,2.59,82.6,2747,86259,76.1,87726,25.2,14909,18,4,0,0,0.0,0.0,0.0,0.11,0.1,0.15,0.0,0.0,0.0,New England
2188,2188,85015,Low,0.136948781,146.04,20,Phoenix,AZ,Zip Code Area,85015,Zip Matches ZCTA,37644,4.88,7709.2,14604,2.64,47.6,85015,42881,75.7,44916,9.4,13369,7,1,0,0,0.0,0.0,0.0,0.11,0.08,0.13,0.09,0.06,0.12,Southwest
2189,2189,91381,High,2.224199288,67.44,150,Stevenson Ranch,CA,Zip Code Area,91381,Zip Matches ZCTA,20158,37.63,535.72,6744,3.08,73.0,91381,155494,89.7,155923,32.0,23744,22,2,0,0,0.0,0.0,0.0,0.09,0.06,0.13,0.0,0.0,0.0,CAISO
2190,2190,21040,Low,0.07952738,88.02,7,Edgewood,MD,Zip Code Area,21040,Zip Matches ZCTA,24420,7.97,3065.14,8802,2.79,80.2,21040,67384,80.2,67734,9.9,26992,7,4,0,0,0.0,0.0,0.0,0.08,0.07,0.1,0.0,0.0,0.0,PJM
2191,2191,48820,Low,0.015339776,65.19,1,DeWitt,MI,Zip Code Area,48820,Zip Matches ZCTA,16641,65.68,253.36,6519,2.72,87.1,48820,107449,80.9,110258,30.2,11089,8,2,0,0,0.0,0.0,0.0,0.07,0.04,0.08,0.14,0.1,0.14,MISO
2192,2192,21146,Medium,0.321027287,93.45,30,Severna Park,MD,Zip Code Area,21146,Zip Matches ZCTA,26705,10.23,2609.95,9345,2.92,96.2,21146,158351,82.5,158712,42.4,19610,7,4,0,0,0.0,0.0,0.0,0.08,0.07,0.1,0.0,0.0,0.0,PJM
2193,2193,65109,Low,0.043643619,160.39,7,Jefferson City,MO,Zip Code Area,65109,Zip Matches ZCTA,38090,82.16,463.63,16039,2.39,72.6,65109,68510,76.8,67473,23.4,13400,10,3,0,0,0.0,0.0,0.0,0.08,0.07,0.11,0.09,0.07,0.11,Northwest
2194,2194,78132,Low,0.02257846,88.58,2,New Braunfels,TX,Zip Code Area,78132,Zip Matches ZCTA,19139,185.58,103.13,8858,2.84,88.4,78132,110389,77.0,107047,32.7,30199,19,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.07,0.11,ERCOT
2195,2195,78221,Low,0.008855043,112.93,1,San Antonio,TX,Zip Code Area,78221,Zip Matches ZCTA,35990,30.43,1182.87,11293,3.37,76.2,78221,45400,77.4,44542,6.8,4441,19,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.08,0.11,ERCOT
2196,2196,92068,Low,0.007109342,140.66,1,San Luis Rey,CA,Post Office or large volume customer,92058,Spatial join to ZCTA,42436,28.21,1504.18,14066,3.13,62.1,92058,57131,84.0,57751,10.8,10421,22,2,0,0,0.0,0.0,0.0,0.14,0.11,0.15,0.0,0.0,0.0,CAISO
2197,2197,95121,Medium,0.993343574,97.65,97,San Jose,CA,Zip Code Area,95121,Zip Matches ZCTA,37469,4.44,8448.48,9765,3.87,85.8,95121,111845,89.4,109092,21.2,14030,22,2,0,0,0.0,0.0,0.0,0.14,0.1,0.17,0.0,0.0,0.0,CAISO
2198,2198,95988,High,2.018583787,31.21,63,Willows,CA,Zip Code Area,95988,Zip Matches ZCTA,8857,310.53,28.52,3121,2.72,69.9,95988,60739,71.5,60914,15.6,24067,22,2,0,0,0.0,0.0,0.0,0.14,0.1,0.17,0.0,0.0,0.0,CAISO
2199,2199,93609,High,1.363636364,15.4,21,Caruthers,CA,Zip Code Area,93609,Zip Matches ZCTA,5640,61.47,91.75,1540,3.68,80.4,93609,53599,78.1,47344,12.5,12405,22,2,0,0,0.0,0.0,0.0,0.14,0.1,0.17,0.0,0.0,0.0,CAISO
2200,2200,55604,Low,0.132625995,15.08,2,Grand Marais,MN,Zip Code Area,55604,Zip Matches ZCTA,3360,890.23,3.77,1508,2.01,87.5,55604,74815,75.6,67131,44.8,9120,32,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.14,MISO
2201,2201,89801,Low,0.023637868,84.61,2,Elko,NV,Zip Code Area,89801,Zip Matches ZCTA,23298,1742.85,13.37,8461,2.93,65.4,89801,88360,88.0,87118,16.2,19476,9,2,0,0,0.0,0.0,0.0,0.04,0.03,0.05,0.08,0.06,0.07,Northwest
2202,2202,8741,Low,0.107526882,9.3,1,Pine Beach,NJ,Zip Code Area,8741,Zip Matches ZCTA,2488,0.78,3181.59,930,2.74,100.0,8741,100237,74.2,96714,31.9,12462,10,4,0,0,0.0,0.0,0.0,0.08,0.06,0.09,0.0,0.0,0.0,PJM
2203,2203,78239,Low,0.021666125,92.31,2,San Antonio,TX,Zip Code Area,78239,Zip Matches ZCTA,28736,6.64,4329.67,9231,3.02,89.7,78239,69290,76.6,61590,19.7,18201,19,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.08,0.11,ERCOT
2204,2204,10706,Low,0.060422961,33.1,2,Hastings on Hudson,NY,Zip Code Area,10706,Zip Matches ZCTA,8679,2.89,2998.96,3310,2.53,64.2,10706,177542,81.6,178735,42.9,31097,14,6,0,0,0.0,0.0,0.0,0.14,0.13,0.2,0.0,0.0,0.0,NYISO
2205,2205,5048,Medium,0.496277916,12.09,6,Hartland,VT,Zip Code Area,5048,Zip Matches ZCTA,2429,27.53,88.25,1209,2.3,75.2,5048,70878,82.7,70109,26.2,6403,4,2,0,0,0.0,0.0,0.0,0.14,0.1,0.17,0.0,0.0,0.0,New England
2206,2206,85234,Medium,0.330641572,157.27,52,Gilbert,AZ,Zip Code Area,85234,Zip Matches ZCTA,50014,11.9,4202.86,15727,3.18,86.8,85234,94716,88.0,91773,21.4,18701,7,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.03,0.11,Southwest
2207,2207,85544,Medium,0.216216216,9.25,2,Pine,AZ,Zip Code Area,85544,Zip Matches ZCTA,2949,165.82,17.78,925,1.96,93.3,85544,59975,59.6,50821,40.1,12651,7,1,0,0,0.0,0.0,0.0,0.11,0.08,0.13,0.0,0.0,0.0,Southwest
2208,2208,2351,Low,0.19345478,62.03,12,Abington,MA,Zip Code Area,2351,Zip Matches ZCTA,16029,9.66,1660.18,6203,2.6,64.5,2351,91683,82.2,93946,23.4,5811,18,4,0,0,0.0,0.0,0.0,0.1,0.1,0.14,0.0,0.0,0.0,New England
2209,2209,78674,Low,0.010264833,97.42,1,Weir,TX,Post Office or large volume customer,78626,Spatial join to ZCTA,25996,93.07,279.31,9742,2.9,73.0,78626,71550,84.2,70532,15.8,13436,19,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.07,0.1,ERCOT
2210,2210,21162,Medium,0.227100681,13.21,3,White Marsh,MD,Zip Code Area,21162,Zip Matches ZCTA,3655,7.46,489.95,1321,2.97,94.9,21162,98429,78.0,104855,33.8,5751,7,4,0,0,0.0,0.0,0.0,0.08,0.07,0.1,0.0,0.0,0.0,PJM
2211,2211,16055,Low,0.029437739,33.97,1,Sarver,PA,Zip Code Area,16055,Zip Matches ZCTA,8486,38.95,217.9,3397,2.51,85.3,16055,84579,80.4,84940,29.2,7413,7,3,0,0,0.0,0.0,0.0,0.06,0.04,0.08,0.12,0.1,0.14,PJM
2212,2212,19382,Low,0.13365675,202.01,27,West Chester,PA,Zip Code Area,19382,Zip Matches ZCTA,52388,46.28,1131.88,20201,2.59,74.6,19382,123351,84.8,120282,36.8,22462,7,3,0,0,0.0,0.0,0.0,0.07,0.04,0.11,0.0,0.0,0.0,PJM
2213,2213,78266,Medium,0.212494688,23.53,5,San Antonio,TX,Zip Code Area,78266,Zip Matches ZCTA,5591,37.59,148.75,2353,2.77,95.5,78266,127470,73.5,114470,42.2,23591,19,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.08,0.11,ERCOT
2214,2214,20772,Low,0.119429254,159.09,19,Upper Marlboro,MD,Zip Code Area,20772,Zip Matches ZCTA,42625,71.56,595.62,15909,2.8,90.0,20772,114792,86.9,110251,15.2,10248,7,4,0,0,0.0,0.0,0.0,0.08,0.06,0.1,0.07,0.0,0.09,PJM
2215,2215,94531,High,1.244713955,125.33,156,Antioch,CA,Zip Code Area,94531,Zip Matches ZCTA,40290,10.95,3681.13,12533,3.52,93.9,94531,101659,87.8,99260,17.1,11749,22,2,0,0,0.0,0.0,0.0,0.14,0.1,0.17,0.0,0.0,0.0,CAISO
2216,2216,92277,High,1.127371274,92.25,104,Twentynine Palms,CA,Zip Code Area,92277,Zip Matches ZCTA,23911,1395.03,17.14,9225,2.6,72.4,92277,49077,75.9,51248,9.5,14248,22,2,0,0,0.0,0.0,0.0,0.09,0.06,0.13,0.12,0.14,0.13,CAISO
2217,2217,92003,High,3.920485919,18.11,71,Bonsall,CA,Zip Code Area,92003,Zip Matches ZCTA,4746,17.33,273.84,1811,2.66,71.6,92003,106406,75.9,87758,36.5,60602,22,2,0,0,0.0,0.0,0.0,0.14,0.11,0.15,0.0,0.0,0.0,CAISO
2218,2218,85303,Low,0.121681416,90.4,11,Glendale,AZ,Zip Code Area,85303,Zip Matches ZCTA,30310,6.33,4786.8,9040,3.39,82.2,85303,58839,85.6,58116,8.3,9917,7,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.06,0.12,Southwest
2219,2219,22847,Medium,0.278551532,3.59,1,Quicksburg,VA,Zip Code Area,22847,Zip Matches ZCTA,1066,20.76,51.35,359,2.37,100.0,22847,66101,78.6,68720,35.1,7477,5,4,0,0,0.0,0.0,0.0,0.04,0.03,0.06,0.11,0.08,0.11,PJM
2220,2220,21161,Medium,0.929752066,19.36,18,White Hall,MD,Zip Code Area,21161,Zip Matches ZCTA,5490,48.41,113.41,1936,2.79,96.6,21161,111824,80.8,116356,35.4,12703,7,4,0,0,0.0,0.0,0.0,0.08,0.07,0.1,0.0,0.0,0.0,PJM
2221,2221,85283,Low,0.179296525,189.63,34,Tempe,AZ,Zip Code Area,85283,Zip Matches ZCTA,44813,8.79,5099.92,18963,2.56,58.6,85283,69380,86.2,68211,16.1,15119,7,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.03,0.11,Southwest
2222,2222,37916,Low,0.074822297,26.73,2,Knoxville,TN,Zip Code Area,37916,Zip Matches ZCTA,12507,1.49,8393.96,2673,2.35,14.5,37916,21143,81.2,22436,6.1,5791,2,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.05,0.05,Southeast
2223,2223,98052,Low,0.003959612,252.55,1,Redmond,WA,Zip Code Area,98052,Zip Matches ZCTA,58442,20.11,2905.97,25255,2.51,54.6,98052,135641,87.9,137182,39.3,19050,11,3,0,0,0.0,0.0,0.0,0.05,0.05,0.06,0.0,0.0,0.0,Northwest
2224,2224,42413,Low,0.080906149,12.36,1,Hanson,KY,Zip Code Area,42413,Zip Matches ZCTA,3118,52.22,59.71,1236,2.72,91.3,42413,74885,79.8,77151,17.9,6953,3,3,0,0,0.0,0.0,0.0,0.09,0.06,0.1,0.1,0.02,0.1,PJM
2225,2225,79843,Low,0.117233294,8.53,1,Marfa,TX,Zip Code Area,79843,Zip Matches ZCTA,2503,1473.61,1.7,853,2.67,71.7,79843,56438,66.4,55878,33.3,10184,19,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.09,0.15,ERCOT
2226,2226,44023,Low,0.015581178,64.18,1,Chagrin Falls,OH,Zip Code Area,44023,Zip Matches ZCTA,17351,51.68,335.77,6418,2.72,94.1,44023,137440,80.4,136317,34.4,28577,8,2,0,0,0.0,0.0,0.0,0.08,0.04,0.09,0.0,0.0,0.0,PJM
2227,2227,19460,Low,0.104275287,163.03,17,Phoenixville,PA,Zip Code Area,19460,Zip Matches ZCTA,40154,35.36,1135.67,16303,2.47,81.0,19460,110783,83.5,114895,32.3,14063,7,3,0,0,0.0,0.0,0.0,0.07,0.04,0.11,0.0,0.0,0.0,PJM
2228,2228,1518,Low,0.159744409,12.52,2,Fiskdale,MA,Zip Code Area,1518,Zip Matches ZCTA,2974,8.87,335.25,1252,2.4,73.7,1518,91385,69.6,110984,17.7,8858,18,4,0,0,0.0,0.0,0.0,0.1,0.1,0.14,0.0,0.0,0.0,New England
2229,2229,94904,High,2.67478325,54.21,145,Greenbrae,CA,Zip Code Area,94904,Zip Matches ZCTA,11995,7.25,1655.62,5421,2.27,61.8,94904,211842,74.7,206158,49.1,83784,22,2,0,0,0.0,0.0,0.0,0.14,0.1,0.17,0.0,0.0,0.0,CAISO
2230,2230,93205,High,1.001430615,6.99,7,Bodfish,CA,Zip Code Area,93205,Zip Matches ZCTA,2113,57.59,36.69,699,2.33,32.8,93205,45219,53.6,55492,11.3,7099,22,2,0,0,0.0,0.0,0.0,0.09,0.06,0.13,0.0,0.0,0.0,CAISO
2231,2231,8861,Low,0.012073649,165.65,2,Perth Amboy,NJ,Zip Code Area,8861,Zip Matches ZCTA,53099,5.19,10227.08,16565,3.24,35.0,8861,62627,81.1,67854,8.7,9224,10,4,0,0,0.0,0.0,0.0,0.08,0.04,0.1,0.0,0.0,0.0,PJM
2232,2232,8034,Low,0.072223025,69.23,5,Cherry Hill,NJ,Zip Code Area,8034,Zip Matches ZCTA,18151,5.94,3054.7,6923,2.67,79.1,8034,107507,79.7,109874,34.4,10624,10,4,0,0,0.0,0.0,0.0,0.08,0.04,0.1,0.0,0.0,0.0,PJM
2233,2233,92139,Medium,0.264991658,101.89,27,San Diego,CA,Zip Code Area,92139,Zip Matches ZCTA,35125,3.62,9695.0,10189,3.56,76.1,92139,68459,85.6,64126,10.3,13095,22,2,0,0,0.0,0.0,0.0,0.14,0.11,0.15,0.0,0.0,0.0,CAISO
2234,2234,65203,Low,0.025364616,236.55,6,Columbia,MO,Zip Code Area,65203,Zip Matches ZCTA,53307,77.31,689.56,23655,2.39,72.0,65203,87005,83.2,87047,28.5,13200,10,3,0,0,0.0,0.0,0.0,0.08,0.07,0.11,0.1,0.08,0.11,Northwest
2235,2235,49112,Low,0.054141852,36.94,2,Edwardsburg,MI,Zip Code Area,49112,Zip Matches ZCTA,10171,43.04,236.33,3694,2.75,78.9,49112,68789,77.7,68923,19.8,15432,8,2,0,0,0.0,0.0,0.0,0.1,0.08,0.11,0.1,0.0,0.16,MISO
2236,2236,18353,Low,0.09699321,41.24,4,Saylorsburg,PA,Zip Code Area,18353,Zip Matches ZCTA,12779,47.16,270.97,4124,2.93,87.8,18353,84359,79.6,87000,16.3,12249,7,3,0,0,0.0,0.0,0.0,0.06,0.04,0.09,0.0,0.0,0.0,PJM
2237,2237,38544,Low,0.073773515,27.11,2,Baxter,TN,Zip Code Area,38544,Zip Matches ZCTA,6543,82.92,78.91,2711,2.4,80.8,38544,50671,71.3,52684,14.3,24122,2,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05,0.07,Southeast
2238,2238,10579,Low,0.094488189,31.75,3,Putnam Valley,NY,Zip Code Area,10579,Zip Matches ZCTA,8675,32.77,264.71,3175,2.97,96.3,10579,132295,81.4,135935,31.8,16619,14,6,0,0,0.0,0.0,0.0,0.1,0.07,0.14,0.0,0.0,0.0,NYISO
2239,2239,2746,Low,0.081579377,61.29,5,New Bedford,MA,Zip Code Area,2746,Zip Matches ZCTA,15342,2.12,7250.47,6129,2.5,13.8,2746,39241,69.3,43964,12.1,7942,18,4,0,0,0.0,0.0,0.0,0.13,0.1,0.16,0.0,0.0,0.0,New England
2240,2240,80020,Low,0.198519154,186.38,37,Broomfield,CO,Zip Code Area,80020,Zip Matches ZCTA,46871,19.77,2370.93,18638,2.62,79.1,80020,98921,86.5,99986,26.3,11637,10,0,0,0,0.0,0.0,0.0,0.09,0.07,0.11,0.0,0.0,0.0,Southwest
2241,2241,94132,Medium,0.539083558,103.88,56,San Francisco,CA,Zip Code Area,94132,Zip Matches ZCTA,28129,3.11,9044.69,10388,2.76,55.3,94132,91655,74.7,97631,26.4,24333,22,2,0,0,0.0,0.0,0.0,0.14,0.1,0.17,0.12,0.03,0.2,CAISO
2242,2242,21029,High,1.182432432,35.52,42,Clarksville,MD,Zip Code Area,21029,Zip Matches ZCTA,11333,15.95,710.62,3552,3.38,92.8,21029,210825,90.9,205296,46.3,23424,7,4,0,0,0.0,0.0,0.0,0.08,0.07,0.1,0.0,0.0,0.0,PJM
2243,2243,53528,Low,0.043271311,23.11,1,Cross Plains,WI,Zip Code Area,53528,Zip Matches ZCTA,5734,46.78,122.57,2311,2.6,83.9,53528,103413,88.6,97595,36.4,15629,7,4,0,0,0.0,0.0,0.0,0.11,0.08,0.15,0.0,0.0,0.0,MISO
2244,2244,8054,Low,0.081079516,172.67,14,Mount Laurel,NJ,Zip Code Area,8054,Zip Matches ZCTA,41864,21.7,1929.66,17267,2.41,74.7,8054,111085,80.8,115795,29.8,12801,10,4,0,0,0.0,0.0,0.0,0.08,0.04,0.1,0.0,0.0,0.0,PJM
2245,2245,7506,Low,0.029638411,67.48,2,Hawthorne,NJ,Zip Code Area,7506,Zip Matches ZCTA,18791,3.33,5636.17,6748,2.8,55.1,7506,103732,85.1,102808,27.5,11291,10,4,1,9,7.4,7.4,7.4,0.08,0.08,0.1,0.0,0.0,0.0,PJM
2246,2246,10011,Low,0.003479713,287.38,1,New York,NY,Zip Code Area,10011,Zip Matches ZCTA,50984,0.66,77131.62,28738,1.7,2.9,10011,194277,83.9,202417,36.8,42469,14,6,0,0,0.0,0.0,0.0,0.14,0.13,0.2,0.0,0.0,0.0,NYISO
2247,2247,32747,Low,0.005512983,181.39,1,Lake Monroe,FL,Post Office or large volume customer,32771,Spatial join to ZCTA,49481,36.25,1365.18,18139,2.8,76.8,32771,71170,79.2,73766,18.8,17379,5,2,0,0,0.0,0.0,0.0,0.08,0.06,0.1,0.0,0.0,0.0,Southeast
2248,2248,1904,Low,0.112957883,61.97,7,Lynn,MA,Zip Code Area,1904,Zip Matches ZCTA,18203,4.52,4026.32,6197,2.76,72.4,1904,96620,83.4,97966,20.0,11120,18,4,0,0,0.0,0.0,0.0,0.1,0.1,0.14,0.14,0.13,0.14,New England
2249,2249,15208,Low,0.022123894,45.2,1,Pittsburgh,PA,Zip Code Area,15208,Zip Matches ZCTA,10406,1.61,6467.37,4520,2.26,68.2,15208,68955,71.4,73679,18.2,24118,7,3,0,0,0.0,0.0,0.0,0.07,0.07,0.11,0.0,0.0,0.0,PJM
2250,2250,96062,High,4.398148148,4.32,19,Millville,CA,Zip Code Area,96062,Zip Matches ZCTA,1105,72.92,15.15,432,2.73,93.8,96062,86941,69.7,84773,25.5,23075,22,2,0,0,0.0,0.0,0.0,0.14,0.1,0.17,0.0,0.0,0.0,CAISO
2251,2251,77445,Low,0.02334267,42.84,1,Hempstead,TX,Zip Code Area,77445,Zip Matches ZCTA,11977,177.05,67.65,4284,3.03,62.3,77445,57469,80.7,55714,15.1,13123,19,2,0,0,0.0,0.0,0.0,0.07,0.05,0.1,0.1,0.07,0.11,ERCOT
2252,2252,86314,Medium,0.586813945,144.85,85,Prescott Valley,AZ,Zip Code Area,86314,Zip Matches ZCTA,34401,72.25,476.13,14485,2.57,65.7,86314,51933,70.6,49896,18.2,10502,7,1,0,0,0.0,0.0,0.0,0.11,0.08,0.13,0.0,0.0,0.0,Southwest
2253,2253,49460,Low,0.071684588,27.9,2,West Olive,MI,Zip Code Area,49460,Zip Matches ZCTA,8126,54.63,148.76,2790,2.77,84.8,49460,84577,81.7,81335,28.5,18752,8,2,0,0,0.0,0.0,0.0,0.07,0.04,0.08,0.13,0.08,0.15,MISO
2254,2254,44622,Low,0.026820437,74.57,2,Dover,OH,Zip Code Area,44622,Zip Matches ZCTA,18588,54.77,339.38,7457,2.38,80.6,44622,64287,69.4,63082,28.0,29520,8,2,0,0,0.0,0.0,0.0,0.08,0.06,0.1,0.14,0.08,0.14,PJM
