zipcode,Category,Rate,number_installed,PO_NAME,STATE,ZIP_TYPE,ZCTA,Zip_join_type,population,landsqmi,popdensity,total_household,avg_hh_size,percet_1unit,ZCTA_5,mean_income,earning_hhs,mean_income_earning_hhs,percent_int_div_rent,earn_int_div_rent,no_financial_incentive_prog,no_rules_reg_pol_incentive,no_plants,op_months,summer_capacity,winter_capacity,nameplate_capacity,comm_rate,ind_rate,res_rate,comm_rate_noniou,ind_rate_noniou,res_rate_noniou,region
15473,Low,0,1,Perryopolis,PA,Zip Code Area,15473,Zip Matches ZCTA,3862,23.31,165.68,1674,2.44,87.1,15473,60719,68.4,63641,23.8,3551,7,3,0,0,0,0,0,0.06,0.04,0.08,0,0,0,PJM
1940,Low,0,1,Lynnfield,MA,Zip Code Area,1940,Zip Matches ZCTA,12108,10.55,1147.9,4796,2.74,81.6,1940,140515,80.5,145519,37.8,19221,18,4,0,0,0,0,0,0.1,0.1,0.14,0.15,0.13,0.14,New England
12541,Low,0,1,Livingston,NY,Post Office or large volume customer,12502,Spatial join to ZCTA,1164,32.73,35.56,445,2.63,81.3,12502,81807,79.6,69484,30.3,10794,14,6,0,0,0,0,0,0.07,0.03,0.1,0,0,0,NYISO
20770,Low,0,7,Greenbelt,MD,Zip Code Area,20770,Zip Matches ZCTA,25173,8.22,3063.53,10198,2.53,33.9,20770,79290,90.6,77103,16.7,6854,7,4,0,0,0,0,0,0.08,0.06,0.1,0,0,0,PJM
14201,Low,0,3,Buffalo,NY,Zip Code Area,14201,Zip Matches ZCTA,11549,1.02,11278.32,5700,2,21,14201,41209,70.3,47194,12.8,11384,14,6,0,0,0,0,0,0.07,0.03,0.1,0,0,0,NYISO
44628,Low,0,1,Glenmont,OH,Zip Code Area,44628,Zip Matches ZCTA,1067,38.51,27.7,396,2.62,89.9,44628,53373,78.3,54986,25.5,3643,8,2,0,0,0,0,0,0.08,0.06,0.1,0.13,0.1,0.13,PJM
90065,Low,0.01,110,Los Angeles,CA,Zip Code Area,90065,Zip Matches ZCTA,45527,5.28,8624.17,14993,3.1,69.5,90065,80776,83.5,81896,19.3,14383,22,2,0,0,0,0,0,0,0,0,0.16,0.15,0.17,CAISO
95380,Low,0,1,Turlock,CA,Zip Code Area,95380,Zip Matches ZCTA,41201,75.02,549.21,14083,2.95,68.7,95380,57152,74.8,57078,12.6,27202,22,2,0,0,0,0,0,0.14,0.1,0.17,0.13,0.12,0.16,CAISO
37310,Low,0,1,Charleston,TN,Zip Code Area,37310,Zip Matches ZCTA,4135,42.18,98.03,1837,2.56,80.6,37310,62798,75.1,63062,15.9,11171,2,2,0,0,0,0,0,0,0,0,0.08,0.05,0.05,Southeast
37098,Low,0,2,Lyles,TN,Zip Code Area,37098,Zip Matches ZCTA,5382,60.09,89.57,2221,2.58,59.5,37098,44762,72,52066,10.8,1870,2,2,0,0,0,0,0,0,0,0,0.1,0.05,0.07,Southeast
12065,Low,0,15,Clifton Park,NY,Zip Code Area,12065,Zip Matches ZCTA,41776,34.9,1197.16,17571,2.45,67.6,12065,102046,82.2,103527,30.4,9669,14,6,0,0,0,0,0,0.07,0.04,0.09,0,0,0,NYISO
3839,Low,0,2,Rochester,NH,Zip Code Area,3839,Zip Matches ZCTA,3735,8.47,441.02,1493,2.61,50.6,3839,66469,78,67264,14.4,10042,4,4,0,0,0,0,0,0.12,0.2,0.13,0,0,0,New England
43746,Low,0,1,Hopewell,OH,Zip Code Area,43746,Zip Matches ZCTA,1425,21.02,67.79,507,2.56,81.3,43746,61126,71.4,56661,31.4,5945,8,2,0,0,0,0,0,0.08,0.06,0.1,0.13,0.1,0.13,PJM
78756,Low,0.01,27,Austin,TX,Zip Code Area,78756,Zip Matches ZCTA,7194,1.67,4302.63,4326,2.01,55.5,78756,101313,89,100028,32.2,18326,19,2,0,0,0,0,0,0,0,0,0.1,0.07,0.11,ERCOT
17860,Low,0,2,Paxinos,PA,Zip Code Area,17860,Zip Matches ZCTA,1994,26.4,75.54,1003,2.55,94.8,17860,71831,77.5,68675,17.3,7748,7,3,0,0,0,0,0,0.06,0.03,0.09,0,0,0,PJM
78023,Low,0,10,Helotes,TX,Zip Code Area,78023,Zip Matches ZCTA,24334,74.52,326.55,8887,3.3,94.5,78023,126251,88,120410,29.1,17890,19,2,0,0,0,0,0,0,0,0,0.09,0.08,0.1,ERCOT
21715,Low,0,1,Brownsville,MD,Post Office or large volume customer,21758,Spatial join to ZCTA,4921,32.44,151.72,1718,2.74,95.1,21758,90162,84.6,81228,25.7,24115,7,4,0,0,0,0,0,0.07,0.05,0.07,0,0,0,PJM
93433,Low,0.01,29,Grover Beach,CA,Zip Code Area,93433,Zip Matches ZCTA,13162,2.16,6082.26,5543,2.43,60.3,93433,71627,79.9,72146,20.3,11405,22,2,0,0,0,0,0,0.14,0.1,0.17,0,0,0,CAISO
95372,Low,0.01,5,Soulsbyville,CA,Zip Code Area,95372,Zip Matches ZCTA,1963,2.68,732.74,757,2.73,97.4,95372,73305,71.6,84172,7.3,8158,22,2,0,0,0,0,0,0.14,0.1,0.17,0,0,0,CAISO
45440,Low,0,1,Dayton,OH,Zip Code Area,45440,Zip Matches ZCTA,20734,9.42,2202,9122,2.3,69.2,45440,81413,76.5,81382,27.6,11613,8,2,0,0,0,0,0,0.06,0.06,0.09,0,0,0,PJM
95928,Medium,0.01,205,Chico,CA,Zip Code Area,95928,Zip Matches ZCTA,36511,137.55,265.44,14022,2.53,67.2,95928,69053,78.1,66998,23.7,19493,22,2,1,9,1.4,0.9,1.7,0.14,0.1,0.17,0,0,0,CAISO
78015,Low,0,1,Boerne,TX,Zip Code Area,78015,Zip Matches ZCTA,9602,20.92,459.05,4224,2.96,92.6,78015,143385,79.8,133506,42,31967,19,2,0,0,0,0,0,0,0,0,0.09,0.08,0.1,ERCOT
95815,Low,0,5,Sacramento,CA,Zip Code Area,95815,Zip Matches ZCTA,24680,7.85,3145.15,8907,2.81,59.4,95815,42313,71.1,46076,9,12141,22,2,0,0,0,0,0,0,0,0,0.13,0.1,0.14,CAISO
15062,Low,0,2,Monessen,PA,Zip Code Area,15062,Zip Matches ZCTA,7731,3.36,2300.21,3624,2.05,86.9,15062,48631,66.9,53137,17.7,2959,7,3,0,0,0,0,0,0.06,0.04,0.08,0,0,0,PJM
53092,Low,0,1,Mequon,WI,Zip Code Area,53092,Zip Matches ZCTA,20024,20.39,981.86,8752,2.42,80.1,53092,151455,72.1,162790,47.7,29623,7,4,0,0,0,0,0,0.12,0.08,0.15,0,0,0,MISO
34476,Low,0,2,Ocala,FL,Zip Code Area,34476,Zip Matches ZCTA,20862,37.25,559.99,9076,2.44,87.1,34476,62861,49.7,65843,30.7,15134,5,2,0,0,0,0,0,0.09,0.08,0.12,0.13,0.08,0.12,Southeast
6371,Low,0,1,Old Lyme,CT,Zip Code Area,6371,Zip Matches ZCTA,9952,54.71,181.89,4168,2.31,93.5,6371,118083,74.5,111978,39.4,32525,12,3,0,0,0,0,0,0.12,0.1,0.15,0,0,0,New England
18954,Low,0,4,Richboro,PA,Zip Code Area,18954,Zip Matches ZCTA,9745,6.75,1444.77,3173,3.03,97.8,18954,150595,84.2,150950,39.3,12913,7,3,0,0,0,0,0,0.07,0.04,0.11,0,0,0,PJM
11355,Low,0,3,Flushing,NY,Zip Code Area,11355,Zip Matches ZCTA,85871,1.74,49379.53,27144,3,16.4,11355,54563,78.1,58861,13.7,9891,14,6,0,0,0,0,0,0.14,0.13,0.2,0,0,0,NYISO
12550,Low,0,18,Newburgh,NY,Zip Code Area,12550,Zip Matches ZCTA,54447,34.72,1568.17,18437,2.89,59.2,12550,73301,79.4,74445,15.9,11161,14,6,0,0,0,0,0,0.08,0.06,0.13,0,0,0,NYISO
14712,Low,0,1,Bemus Point,NY,Zip Code Area,14712,Zip Matches ZCTA,3342,26.03,128.41,1447,2.34,75.1,14712,76596,69.7,74112,27.4,9019,14,6,0,0,0,0,0,0.07,0.03,0.1,0,0,0,NYISO
12302,Low,0,18,Schenectady,NY,Zip Code Area,12302,Zip Matches ZCTA,27582,42.35,651.33,10132,2.67,74.8,12302,79400,74.8,79421,32.1,8136,14,6,0,0,0,0,0,0.07,0.03,0.1,0,0,0,NYISO
19462,Low,0,4,Plymouth Meeting,PA,Zip Code Area,19462,Zip Matches ZCTA,14658,8.46,1732.42,5767,2.59,77.7,19462,106502,84.2,106189,32.7,13546,7,3,0,0,0,0,0,0.07,0.04,0.11,0,0,0,PJM
75063,Low,0,4,Irving,TX,Zip Code Area,75063,Zip Matches ZCTA,35090,15.17,2312.66,15725,2.37,42.7,75063,108566,93.9,107623,19.4,15336,19,2,0,0,0,0,0,0,0,0,0,0,0,ERCOT
92070,Medium,0.04,15,Santa Ysabel,CA,Zip Code Area,92070,Zip Matches ZCTA,1245,133.17,9.35,389,2.66,74.8,92070,57915,67.1,52621,27.2,16078,22,2,0,0,0,0,0,0.14,0.11,0.15,0,0,0,CAISO
89044,Low,0,3,Henderson,NV,Zip Code Area,89044,Zip Matches ZCTA,14260,31.38,454.43,8081,2.3,98.4,89044,89004,66.8,87442,27.9,20310,9,2,0,0,0,0,0,0.05,0.04,0.06,0,0,0,Northwest
18933,Low,0,1,Lumberville,PA,Zip Code Area,18938,Spatial join to ZCTA,13989,40.93,341.8,5893,2.35,84.6,18938,162698,80.8,162635,44.6,28373,7,3,0,0,0,0,0,0.07,0.04,0.11,0,0,0,PJM
85742,Low,0,35,Tucson,AZ,Zip Code Area,85742,Zip Matches ZCTA,25212,28.73,877.58,9919,2.7,92.7,85742,89457,81.3,81603,26.8,32747,7,1,0,0,0,0,0,0.12,0.08,0.11,0.13,0.08,0.14,Southwest
17872,Low,0,1,Shamokin,PA,Zip Code Area,17872,Zip Matches ZCTA,9943,40.57,245.11,4336,2.15,80.3,17872,43303,68.5,43161,16.5,8151,7,3,0,0,0,0,0,0.06,0.03,0.09,0,0,0,PJM
95336,Medium,0.01,152,Manteca,CA,Zip Code Area,95336,Zip Matches ZCTA,42675,38.29,1114.49,15135,3.13,81.4,95336,71514,77.1,69668,14.2,24343,22,2,2,10,1.3,1.3,1.3,0.14,0.1,0.17,0.14,0.1,0.18,CAISO
12184,Low,0,6,Valatie,NY,Zip Code Area,12184,Zip Matches ZCTA,7148,38.53,185.53,2558,2.53,77.1,12184,98806,80.4,82287,31.9,50385,14,6,0,0,0,0,0,0.07,0.04,0.09,0,0,0,NYISO
17340,Low,0,1,Littlestown,PA,Zip Code Area,17340,Zip Matches ZCTA,10896,38.7,281.56,4216,2.58,84.8,17340,75474,79,75053,23.6,7991,7,3,0,0,0,0,0,0.07,0.05,0.09,0.11,0.08,0.12,PJM
92177,Low,0,1,San Diego,CA,Post Office or large volume customer,92117,Spatial join to ZCTA,51332,8.79,5841.15,20688,2.62,68.2,92117,84288,80.5,83877,26.8,15230,22,2,0,0,0,0,0,0.14,0.11,0.15,0,0,0,CAISO
93924,Medium,0.04,106,Carmel Valley,CA,Zip Code Area,93924,Zip Matches ZCTA,6279,189.87,33.07,2629,2.45,90.5,93924,126638,81,93811,47.2,62485,22,2,0,0,0,0,0,0.14,0.1,0.17,0,0,0,CAISO
91301,Medium,0.02,187,Agoura Hills,CA,Zip Code Area,91301,Zip Matches ZCTA,25488,34.09,747.62,9183,2.82,82.7,91301,151750,88.7,139702,37.7,38026,22,2,0,0,0,0,0,0.09,0.06,0.13,0,0,0,CAISO
33037,Low,0,1,Key Largo,FL,Zip Code Area,33037,Zip Matches ZCTA,11612,33.82,343.33,4539,2.39,64.9,33037,100710,69.5,84013,33,70895,5,2,0,0,0,0,0,0.08,0.06,0.1,0.1,0.05,0.1,Southeast
94062,Medium,0.04,367,Redwood City,CA,Zip Code Area,94062,Zip Matches ZCTA,25876,70.9,364.96,10187,2.62,83.4,94062,216273,83.3,201973,47.2,69302,22,2,0,0,0,0,0,0.14,0.1,0.17,0,0,0,CAISO
48051,Low,0,2,New Baltimore,MI,Zip Code Area,48051,Zip Matches ZCTA,17319,15.03,1152.53,5992,2.72,74.2,48051,77515,84.5,78397,15.5,5605,8,2,0,0,0,0,0,0.06,0.04,0.11,0,0,0,MISO
86335,Medium,0.01,30,Rimrock,AZ,Zip Code Area,86335,Zip Matches ZCTA,4806,185.35,25.93,2249,2.34,56.8,86335,53496,76.9,41638,27.6,13142,7,1,0,0,0,0,0,0.11,0.08,0.13,0,0,0,Southwest
21104,Low,0.01,9,Marriottsville,MD,Zip Code Area,21104,Zip Matches ZCTA,4601,16.98,270.93,1511,3.03,99.3,21104,147733,85.2,143098,40.6,11203,7,4,0,0,0,0,0,0.08,0.07,0.1,0,0,0,PJM
95422,Low,0.01,38,Clearlake,CA,Zip Code Area,95422,Zip Matches ZCTA,15585,35.23,442.42,6496,2.33,56.9,95422,35948,57.6,36038,14.2,18211,22,2,0,0,0,0,0,0.14,0.1,0.17,0,0,0,CAISO
3856,Low,0,2,Newfields,NH,Zip Code Area,3856,Zip Matches ZCTA,1680,7.1,236.79,535,2.85,92.3,3856,148286,89.9,134253,40.6,22762,4,4,0,0,0,0,0,0.12,0.14,0.12,0,0,0,New England
5257,Low,0,2,North Bennington,VT,Zip Code Area,5257,Zip Matches ZCTA,2718,12.7,214.05,894,2.27,74,5257,69036,77.6,64602,37.4,17066,4,2,0,0,0,0,0,0.14,0.1,0.17,0,0,0,New England
1096,Low,0.01,6,Williamsburg,MA,Zip Code Area,1096,Zip Matches ZCTA,2217,31.68,69.97,1047,2.44,88.3,1096,82292,80.6,83026,29.5,17157,18,4,0,0,0,0,0,0.1,0.09,0.14,0,0,0,New England
92261,Low,0,2,Palm Desert,CA,Post Office or large volume customer,92260,Spatial join to ZCTA,31753,28.4,1118.18,15501,2.17,54.5,92260,76276,63.6,68172,27.2,51729,22,2,0,0,0,0,0,0.09,0.06,0.13,0,0,0,CAISO
7765,Low,0,3,Wickatunk,NJ,Post Office or large volume customer,7751,Spatial join to ZCTA,19736,16.13,1223.26,5985,3.29,88.5,7751,178532,91.4,177899,36.8,12614,10,4,0,0,0,0,0,0.08,0.06,0.09,0,0,0,PJM
8535,Low,0.01,10,Millstone Township,NJ,Zip Code Area,8535,Zip Matches ZCTA,5385,17.79,302.73,1669,2.79,99.2,8535,179616,85.3,179489,39.9,28744,10,4,0,0,0,0,0,0.08,0.06,0.09,0,0,0,PJM
5473,Low,0.01,3,North Ferrisburgh,VT,Zip Code Area,5473,Zip matches ZCTA,1413,18.9,74.76,575,2.5,81.9,5473,106150,87.8,104276,36,7427,4,2,0,0,0,0,0,0.14,0.1,0.17,0,0,0,New England
18603,Low,0,7,Berwick,PA,Zip Code Area,18603,Zip Matches ZCTA,19320,51.56,374.72,8189,2.35,75.6,18603,57970,72.2,62680,18.2,8947,7,3,0,0,0,0,0,0.06,0.04,0.08,0,0,0,PJM
32723,Low,0,1,Deland,FL,Post Office or large volume customer,32720,Spatial join to ZCTA,29700,62.81,472.86,11696,2.5,76.9,32720,55050,67.3,53778,24.6,14763,5,2,0,0,0,0,0,0.09,0.08,0.12,0,0,0,Southeast
37745,Low,0,1,Greeneville,TN,Zip Code Area,37745,Zip Matches ZCTA,18401,116.46,158,7148,2.34,72.7,37745,55094,63.9,61222,19.5,14597,2,2,0,0,0,0,0,0,0,0,0.09,0.05,0.07,Southeast
15227,Low,0,1,Pittsburgh,PA,Zip Code Area,15227,Zip Matches ZCTA,28156,6.18,4555.99,12113,2.34,77.3,15227,66860,78.3,68760,22.5,8570,7,3,0,0,0,0,0,0.07,0.07,0.11,0,0,0,PJM
6375,Low,0,1,Quaker Hill,CT,Zip Code Area,6375,Zip Matches ZCTA,3660,7.93,461.77,1490,2.53,93.2,6375,98279,81,95559,29.3,14231,12,3,0,0,0,0,0,0.12,0.1,0.15,0.18,0.06,0.16,New England
97024,Low,0,3,Fairview,OR,Zip Code Area,97024,Zip Matches ZCTA,10242,3.5,2925.45,4149,2.48,52.5,97024,61513,77.8,57446,15.5,26658,22,6,0,0,0,0,0,0.06,0.04,0.06,0,0,0,Northwest
15143,Low,0,5,Sewickley,PA,Zip Code Area,15143,Zip Matches ZCTA,19660,36.81,534.06,7976,2.47,82.1,15143,141515,77.9,147930,39.4,30543,7,3,0,0,0,0,0,0.06,0.05,0.1,0,0,0,PJM
8873,Low,0.01,116,Somerset,NJ,Zip Code Area,8873,Zip Matches ZCTA,49921,32.28,1546.5,19398,2.7,72.6,8873,105710,78.8,110163,27.8,14105,10,4,0,0,0,0,0,0.08,0.04,0.1,0,0,0,PJM
63052,Low,0,11,Imperial,MO,Zip Code Area,63052,Zip Matches ZCTA,26431,32.56,811.74,9186,2.83,87.4,63052,77426,84.8,78516,17.9,6180,10,3,0,0,0,0,0,0.08,0.07,0.11,0.09,0.07,0.1,Northwest
91307,Medium,0.01,118,West Hills,CA,Zip Code Area,91307,Zip Matches ZCTA,24474,8.05,3042.14,8674,3.03,96.2,91307,126726,80.4,129417,30.6,25450,22,2,0,0,0,0,0,0.09,0.06,0.13,0.15,0.13,0.15,CAISO
78228,Low,0,3,San Antonio,TX,Zip Code Area,78228,Zip Matches ZCTA,58811,10.95,5372.34,19105,3.19,79.1,78228,49286,73,51901,8.4,10060,19,2,0,0,0,0,0,0,0,0,0.09,0.08,0.11,ERCOT
63104,Low,0,4,Saint Louis,MO,Zip Code Area,63104,Zip Matches ZCTA,18656,3.46,5398.15,9626,2.09,38.5,63104,67121,79.3,73243,16.8,11386,10,3,0,0,0,0,0,0.08,0.07,0.11,0,0,0,Northwest
93454,Low,0,44,Santa Maria,CA,Zip Code Area,93454,Zip Matches ZCTA,36448,427,85.36,11501,3.34,68.9,93454,68710,79,66342,17,20414,22,2,0,0,0,0,0,0.14,0.1,0.17,0,0,0,CAISO
13126,Low,0,15,Oswego,NY,Zip Code Area,13126,Zip Matches ZCTA,37205,100.77,369.2,13366,2.39,68.1,13126,63314,71.6,66569,21.2,7334,14,6,0,0,0,0,0,0.08,0.05,0.1,0,0,0,NYISO
16052,Low,0,1,Prospect,PA,Zip Code Area,16052,Zip Matches ZCTA,2447,20.12,121.61,994,2.52,83.1,16052,68758,74.3,67039,33.2,10334,7,3,0,0,0,0,0,0.06,0.03,0.08,0.12,0.1,0.14,PJM
55956,Low,0,1,Mazeppa,MN,Zip Code Area,55956,Zip Matches ZCTA,1962,54.29,36.14,777,2.58,88,55956,87120,83.1,89415,28.7,12289,32,3,0,0,0,0,0,0.1,0.08,0.13,0.11,0.1,0.14,MISO
3580,Low,0.01,4,Franconia,NH,Zip Code Area,3580,Zip Matches ZCTA,1369,95.17,14.39,603,2.1,86.2,3580,96387,77.3,89315,40.6,18424,4,4,0,0,0,0,0,0.12,0.2,0.13,0.13,0.09,0.15,New England
14611,Low,0,1,Rochester,NY,Zip Code Area,14611,Zip Matches ZCTA,17396,2.9,6008.98,6622,2.47,55.1,14611,32832,62.7,35623,7.2,5452,14,6,0,0,0,0,0,0.09,0.07,0.1,0,0,0,NYISO
33525,Low,0,1,Dade City,FL,Zip Code Area,33525,Zip Matches ZCTA,18439,116.48,158.31,7169,2.49,63.6,33525,66920,67.6,67872,19.6,21272,5,2,0,0,0,0,0,0.09,0.08,0.12,0.11,0.08,0.12,Southeast
90802,Low,0,4,Long Beach,CA,Zip Code Area,90802,Zip Matches ZCTA,39347,6.48,6069.26,20610,1.9,7.6,90802,64918,81.5,68331,12.6,22521,22,2,0,0,0,0,0,0.09,0.06,0.13,0.15,0.13,0.15,CAISO
63334,Low,0,2,Bowling Green,MO,Zip Code Area,63334,Zip Matches ZCTA,8569,174.45,49.12,2760,2.49,81.6,63334,56670,76.7,56120,15.8,19164,10,3,0,0,0,0,0,0.08,0.07,0.11,0.1,0.07,0.12,Northwest
93636,Medium,0.05,176,Madera,CA,Zip Code Area,93636,Zip Matches ZCTA,11908,195.6,60.88,3823,3.09,94.3,93636,94210,74.4,94998,22.7,19619,22,2,0,0,0,0,0,0.14,0.1,0.17,0,0,0,CAISO
14012,Low,0.01,5,Barker,NY,Zip Code Area,14012,Zip Matches ZCTA,2362,32.17,73.42,855,2.86,86.8,14012,67068,72.2,64968,18.5,6377,14,6,0,0,0,0,0,0.07,0.03,0.1,0,0,0,NYISO
93510,Medium,0.05,129,Acton,CA,Zip Code Area,93510,Zip Matches ZCTA,7993,71.91,111.16,2622,2.83,91.9,93510,107668,84.4,102160,23.7,20549,22,2,0,0,0,0,0,0.09,0.06,0.13,0,0,0,CAISO
